City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
104,Kenai,US,68.0,60.55,-151.26,scattered clouds,Aspen Extended Stay Suites
105,Ponta Do Sol,PT,70.0,32.67,-17.1,clear sky,Hotel do Campo
107,Port Elizabeth,ZA,57.2,-33.92,25.57,few clouds,39 On Nile Guest House
108,Narok,KE,55.31,-1.08,35.86,few clouds,OLORROPIL TOWERS
109,Bordighera,IT,73.4,43.78,7.66,clear sky,Kaly
110,Shingu,JP,77.0,33.73,135.98,shower rain,Shingu UI Hotel
111,Viedma,AR,51.58,-40.81,-63.0,overcast clouds,Hotel Cristal
112,Dikson,RU,42.73,73.51,80.55,clear sky,
114,Qaqortoq,GL,50.0,60.72,-46.03,overcast clouds,Hotel Qaqortoq
117,Pangkalanbuun,ID,75.31,-2.68,111.62,moderate rain,Grand Kecubung Hotel
119,Lavrentiya,RU,53.82,65.58,-171.0,few clouds,
120,Kaduna,NG,72.79,10.52,7.44,overcast clouds,HAMDALA HOTEL
121,Katherine,AU,71.6,-14.47,132.27,clear sky,Pine Tree Motel
122,Prince Rupert,CA,62.6,54.32,-130.32,few clouds,Crest Hotel
123,Bloomington,US,79.0,44.84,-93.3,overcast clouds,Comfort Inn MSP Airport - Mall Of America
126,Norman Wells,CA,64.4,65.28,-126.83,broken clouds,Heritage Hotel
128,Yellowknife,CA,68.0,62.46,-114.35,shower rain,The Explorer Hotel
129,Kaitangata,NZ,50.0,-46.28,169.85,broken clouds,Kaitangata Motor Camp
130,Barsovo,RU,59.0,61.17,73.17,clear sky,Baza Otdykha Kordon
131,Yerbogachen,RU,62.94,61.28,108.01,scattered clouds,
133,Ostrovnoy,RU,57.81,68.05,39.51,overcast clouds,
134,Xingyi,CN,63.32,24.19,102.82,overcast clouds,
135,Zhigansk,RU,68.61,66.77,123.37,broken clouds,Gostinichnyy Kompleks Aylgy
137,Katsuura,JP,78.01,35.13,140.3,overcast clouds,Katsuura Hotel Mikazuki
139,Lagoa,PT,68.88,39.05,-27.98,few clouds,Casa Das Faias
142,Port Hueneme,US,66.99,34.15,-119.2,overcast clouds,Hampton Inn Channel Islands Harbor
143,Bumba,CD,72.14,2.18,22.47,light rain,Hôtel Cape Town
144,Abengourou,CI,71.01,6.73,-3.5,overcast clouds,Hotel des Princes
145,Saint-Philippe,RE,68.0,-21.36,55.77,broken clouds,"Chambres d'hôte ""La Trinité"""
147,Kautokeino,NO,46.36,69.01,23.04,overcast clouds,Ailo Matki & Tourist -Kautokeino bilutleie
149,Tabory,RU,67.98,58.52,64.55,clear sky,
150,Norsup,VU,78.8,-16.07,167.38,shower rain,Nabelchel Bungalows
151,Mount Gambier,AU,46.4,-37.83,140.77,overcast clouds,Southgate Motel
152,Bulgan,MN,54.88,48.81,103.53,overcast clouds,Bulgan Hotel
153,Kupang,ID,78.8,-10.17,123.58,few clouds,Sylvia Hotel Premier Kupang
155,Grao Mogol,BR,60.98,-16.56,-42.89,clear sky,Pousada do Eti
156,Walvis Bay,,51.01,-22.96,14.51,clear sky,Oyster Box Guesthouse
157,Tocopilla,CL,58.64,-22.09,-70.2,few clouds,Hotel Galvarino
160,Souillac,MU,68.0,-20.52,57.52,shower rain,Bils' Villa
161,Vila Velha,BR,73.4,-20.33,-40.29,clear sky,Hotel Vitória Palace
162,Vikulovo,RU,65.64,56.82,70.61,clear sky,"Ooo ""Sistema Stroy"""
163,Petropavlovsk-Kamchatskiy,RU,59.0,53.05,158.65,light intensity shower rain,"ООО ""Гостиничный комплекс ""Петропавловск"""
165,Crossfield,CA,72.0,51.43,-114.04,light rain,Crossfield Country Inn
166,Isangel,VU,77.0,-19.55,169.27,overcast clouds,Volcano Sea View Tree House
167,Narsaq,GL,50.0,60.92,-46.05,overcast clouds,Hotel Narsaq
168,Stephenville Crossing,CA,59.0,48.5,-58.43,broken clouds,Henrieta's Hospitality Home
169,Pingzhuang,CN,70.92,42.04,119.29,overcast clouds,Haoke Guest House
170,Ballyshannon,IE,46.0,54.5,-8.18,scattered clouds,Dorrians Imperial Hotel
171,Chicama,PE,63.34,-7.84,-79.15,scattered clouds,Hospedaje Punta Cana PERU
172,Zeya,RU,73.65,53.75,127.27,overcast clouds,Kapital Inn
174,Iralaya,HN,78.8,15.0,-83.23,overcast clouds,Iglesia morava renovada
175,Cayenne,GF,77.0,4.93,-52.33,moderate rain,Hôtel Le Dronmi
176,Ambilobe,MG,66.52,-13.2,49.05,clear sky,Hôtel & Restaurant DIANA Ambilobe
177,Biloela,AU,68.23,-24.42,150.5,clear sky,Silo Motor Inn
179,Ouricuri,BR,70.47,-7.88,-40.08,clear sky,Sertão Pousada
180,Conselheiro Pena,BR,71.04,-19.17,-41.47,clear sky,Hotel Bela Adormecida
181,Port Macquarie,AU,57.99,-31.43,152.92,broken clouds,Rydges Port Macquarie
182,Awbari,LY,79.84,26.59,12.78,clear sky,فندق أوباري
184,Bengkulu,ID,75.72,-3.8,102.27,overcast clouds,Grage Hotel Bengkulu
185,Turukhansk,RU,56.41,65.82,87.98,scattered clouds,"ООО ""Туруханская пушнина"""
186,Ostersund,SE,46.4,63.18,14.64,clear sky,Best Western Hotel Gamla Teatern
